Ciro IMMOBILE;Italy;3. Defender
Clement GRENIER;France;3. Defender
Cristian GAMBOA;Costa Rica;3. Defender
Daley BLIND;Netherlands;3. Defender
Daniel OPARE;Ghana;3. Defender
Daniel STURRIDGE;England;3. Defender
Danny WELBECK;England;3. Defender
Daryl JANMAAT;Netherlands;3. Defender
David DE GEA;Spain;3. Defender
DeAndre YEDLIN;USA;3. Defender
Dejan LOVREN;Croatia;3. Defender
Diego CALVO;Costa Rica;3. Defender
Diego REYES;Mexico;3. Defender
Divock ORIGI;Belgium;3. Defender
Ebenezer ODUNLAMI;Nigeria;3. Defender
Eden HAZARD;Belgium;3. Defender
Eder BALANTA;Colombia;3. Defender
Edgar SALLI;Cameroon;3. Defender
Edin VISCA;Bosnia & Herzegovina;3. Defender
Eduardo VARGAS;Chile;3. Defender
Ehsan HAJI SAFI;Iran;3. Defender
Eliaquim MANGALA;France;3. Defender
Emmanuel AGYEMANG BADU;Ghana;3. Defender
Enner VALENCIA;Ecuador;3. Defender
Eric CHOUPO MOTING;Cameroon;3. Defender
Erik DURM;Germany;3. Defender
Ermin BICAKCIC;Bosnia & Herzegovina;3. Defender
Esseid BELKALEM;Algeria;3. Defender
Eugenio MENA;Chile;3. Defender
Fabian SCHAER;Switzerland;3. Defender
Fabrice OLINGA;Cameroon;3. Defender
Faouzi GHOULAM;Algeria;3. Defender
Federico FERNANDEZ;Argentina;3. Defender
Felipe GUTIERREZ;Chile;3. Defender
Fidel MARTINEZ;Ecuador;3. Defender
Gaston RAMIREZ;Uruguay;3. Defender
Georginio WIJNALDUM;Netherlands;3. Defender
Georgy SHCHENNIKOV;Russia;3. Defender
Godfrey OBOABONA;Nigeria;3. Defender
Gotoku SAKAI;Japan;3. Defender
Granit XHAKA;Switzerland;3. Defender
HAN Kookyoung;South Korea;3. Defender
Haris SEFEROVIC;Switzerland;3. Defender
Hector HERRERA;Mexico;3. Defender
Hiroki SAKAI;Japan;3. Defender
Hiroshi KIYOTAKE;Japan;3. Defender
HONG Jeongho;South Korea;3. Defender
Hotaru YAMAGUCHI;Japan;3. Defender
HWANG Seokho;South Korea;3. Defender
Ioannis FETFATZIDIS;Greece;3. Defender
Isaac BRIZUELA;Mexico;3. Defender
Ismael DIOMANDE;Ivory Coast;3. Defender
Ivan MOCINIC;Croatia;3. Defender
Izet HAJROVIC;Bosnia & Herzegovina;3. Defender
Jack WILSHERE;England;3. Defender
James HOLLAND;Australia;3. Defender
James TROISI;Australia;3. Defender
Jason DAVIDSON;Australia;3. Defender
Javier AQUINO;Mexico;3. Defender
Jean Daniel AKPA;Ivory Coast;3. Defender
Jefferson MONTERO;Ecuador;3. Defender
JI Dongwon;South Korea;3. Defender
Joel CAMPBELL;Costa Rica;3. Defender
Joel MATIP;Cameroon;3. Defender
Joel VELTMAN;Netherlands;3. Defender
John BROOKS;USA;3. Defender
Jonathan MENSAH;Ghana;3. Defender
Jordan AYEW;Ghana;3. Defender
Jordan HENDERSON;England;3. Defender
Jordy CLASIE;Netherlands;3. Defender
Jose GIMENEZ;Uruguay;3. Defender
Josip DRMIC;Switzerland;3. Defender
Jozy ALTIDORE;USA;3. Defender
Juan QUINTERO;Colombia;3. Defender
Julian DRAXLER;Germany;3. Defender
Julian GREEN;USA;3. Defender
Juwon OSHANIWA;Nigeria;3. Defender
Karim ANSARI FARD;Iran;3. Defender
Kenneth OMERUO;Nigeria;3. Defender
Kevin DE BRUYNE;Belgium;3. Defender
KIM Bokyung;South Korea;3. Defender
KIM Seunggyu;South Korea;3. Defender
KIM Younggwon;South Korea;3. Defender
KOKE;Spain;3. Defender
Konstantinos MANOLAS;Greece;3. Defender
Leroy FER;Netherlands;3. Defender
Loic FEUDJOU;Cameroon;3. Defender
Lorenzo INSIGNE;Italy;3. Defender
Lucas DIGNE;France;3. Defender
Luis GARRIDO;Honduras;3. Defender
Luis LOPEZ;Honduras;3. Defender
Luke SHAW;England;3. Defender
Majeed WARIS;Ghana;3. Defender
Maksim KANUNNIKOV;Russia;3. Defender
Mamadou SAKHO;France;3. Defender
Manabu SAITO;Japan;3. Defender
Marcelo BROZOVIC;Croatia;3. Defender
Marco FABIAN;Mexico;3. Defender
Marco VERRATTI;Italy;3. Defender
Marcos ROJO;Argentina;3. Defender
Marcos URENA;Costa Rica;3. Defender
Mario BALOTELLI;Italy;3. Defender
Mario GAVRANOVIC;Switzerland;3. Defender
Mario GOETZE;Germany;3. Defender
Mario MARTINEZ;Honduras;3. Defender
Massimo LUONGO;Australia;3. Defender
Mateo KOVACIC;Croatia;3. Defender
Mathew LECKIE;Australia;3. Defender
Mathis BOLLY;Ivory Coast;3. Defender
Matteo DARMIAN;Italy;3. Defender
Matthew SPIRANOVIC;Australia;3. Defender
Matthias GINTER;Germany;3. Defender
Mattia DE SCIGLIO;Italy;3. Defender
Mattia PERIN;Italy;3. Defender
Maty RYAN;Australia;3. Defender
Memphis DEPAY;Netherlands;3. Defender
Michael BABATUNDE;Nigeria;3. Defender
Michael LANG;Switzerland;3. Defender
Miiko ALBORNOZ;Chile;3. Defender
Miralem PJANIC;Bosnia & Herzegovina;3. Defender
Mitch LANGERAK;Australia;3. Defender
Mix DISKERUD;USA;3. Defender
Mohammed RABIU;Ghana;3. Defender
Moussa SISSOKO;France;3. Defender
Mubarak WAKASO;Ghana;3. Defender
Muhamed BESIC;Bosnia & Herzegovina;3. Defender
Nabil BENTALEB;Algeria;3. Defender
Nabil GHILAS;Algeria;3. Defender
Nacer CHADLI;Belgium;3. Defender
NEYMAR;Brazil;3. Defender
Nicolas NKOULOU;Cameroon;3. Defender
Ogenyi ONAZI;Nigeria;3. Defender
Ognjen VRANJES;Bosnia & Herzegovina;3. Defender
Okechukwu UCHEBO;Nigeria;3. Defender
Oleg SHATOV;Russia;3. Defender
Oliver BOZANIC;Australia;3. Defender
Oliver ZELENIKA;Croatia;3. Defender
OSCAR;Brazil;3. Defender
Panagiotis TACHTSIDIS;Greece;3. Defender
Paul POGBA;France;3. Defender
PAULINHO;Brazil;3. Defender
Phil JONES;England;3. Defender
RAFA;Portugal;3. Defender
Raheem STERLING;England;3. Defender
Ramon AZEEZ;Nigeria;3. Defender
Raphael VARANE;France;3. Defender
Rashid SUMAILA;Ghana;3. Defender
Raul JIMENEZ;Mexico;3. Defender
Ricardo RODRIGUEZ;Switzerland;3. Defender
Riyad MAHREZ;Algeria;3. Defender
Roman BUERKI;Switzerland;3. Defender
Romelu LUKAKU;Belgium;3. Defender
Ross BARKLEY;England;3. Defender
Ruben GABRIEL;Nigeria;3. Defender
Ryan McGOWAN;Australia;3. Defender
Sammy NDJOCK;Cameroon;3. Defender
Santiago ARIAS;Colombia;3. Defender
Saphir TAIDER;Algeria;3. Defender
Sayouba MANDE;Ivory Coast;3. Defender
Sead KOLASINAC;Bosnia & Herzegovina;3. Defender
Sebastian COATES;Uruguay;3. Defender
Serge AURIER;Ivory Coast;3. Defender
Sime VRSALJKO;Croatia;3. Defender
Sofiane FEGHOULI;Algeria;3. Defender
SON Heungmin;South Korea;3. Defender
Stefan DE VRIJ;Netherlands;3. Defender
Stefanos KAPINO;Greece;3. Defender
Stephen ADAMS;Ghana;3. Defender
Terence KONGOLO;Netherlands;3. Defender
Thibaut COURTOIS;Belgium;3. Defender
Thomas MUELLER;Germany;3. Defender
Timmy CHANDLER;USA;3. Defender
Tino Sven SUSIC;Bosnia & Herzegovina;3. Defender
Toby ALDERWEIRELD;Belgium;3. Defender
Tommy OAR;Australia;3. Defender
Toni KROOS;Germany;3. Defender
Toni SUNJIC;Bosnia & Herzegovina;3. Defender
